"Project.Name","Out.Degrees","In.Degrees"
"aabb-quadtree",1,0
"aabb2",2,1
"aabb3",2,0
"abc",4,0
"abomonation",1,5
"abomonation_derive",4,3
"abort",1,1
"about-system",9,0
"abra",7,0
"abrute",9,0
"abstract-ns",12,12
"abxml",8,0
"acacia",6,1
"accel",6,1
"accel-derive",5,0
"accel-mma84",1,0
"accelerate-provider",1,2
"accelerate-src",1,4
"accessors",3,0
"accord",4,0
"accountable-refcell",1,0
"accumulator",6,3
"accurate",6,0
"acetylene_parser",2,0
"acgmath",8,0
"aci_png",3,2
"aci_ppm",2,1
"acid-state",3,0
"acl-sys",1,0
"aclui-sys",1,0
"acme-client",14,1
"acon",1,0
"act",2,0
"action",1,0
"actiondb",8,0
"activeds-sys",1,0
"actix",18,4
"actix_derive",7,1
"actix-redis",16,0
"actix-web",48,2
"acto-rs",4,1
"acyclic-network",2,1
"adapton",3,3
"adapton-lab",4,0
"adbackup",10,0
"adc-mcp3008",1,0
"add-remote",6,0
"add3",0,3
"add6",1,0
"add6_64",1,0
"add6_64b",1,0
"addr2line",18,1
"addressable_queue",2,1
"addressable-pairing-heap",4,0
"adhesion",3,0
"adi",2,0
"adi_gpu",7,1
"adi_gpu_base",3,2
"adi_gpu_vulkan",6,1
"adi_screen",9,1
"adi_storage",1,1
"adivon",5,1
"adjacent_lines",2,0
"adler32",1,8
"admin_bot",6,0
"adobe-cmap-parser",1,1
"adorn",3,0
"ads111x",2,0
"adsiid-sys",1,0
"adts-reader",2,0
"advapi32-sys",2,22
"advpack-sys",1,0
"aerial",8,0
"aerospike",18,0
"aes-soft",3,1
"aes-stream",2,0
"aesni",2,8
"aesthetic",1,0
"aesti",5,1
"af_packet",1,0
"af_unix",2,0
"afi",1,8
"afio",2,0
"afl",10,2
"afl-plugin",2,3
"afl-sys",2,1
"afm",2,0
"afsort",3,0
"afterparty",11,0
"ahadmin-sys",1,0
"aho-corasick",7,11
"ahrs",4,0
"ai",1,0
"ai_kit",6,0
"aidanhs-tmp-parse-generics-shim",2,1
"aio",3,0
"aio-bindings",1,1
"airbrake",6,0
"airkorea",9,0
"airspy",2,0
"aklat",18,0
"al-sys",3,1
"alac",4,1
"alcibiades",4,0
"alert",14,0
"alert-after",3,0
"alexa",6,0
"alfred",2,0
"alfred-crates",2,0
"alg",0,1
"alga",7,22
"alga_derive",4,1
"algebloat",3,0
"algebra",2,2
"algojam",1,0
"algorithmia",15,0
"algs4",6,0
"aliasmethod",1,0
"alice-download",3,0
"alice-open-data",6,4
"alice-sys",4,1
"alienlanguage",2,0
"aligned_alloc",3,4
"aligned_media",5,0
"aligner",8,0
"alink-sys",1,0
"allan",2,2
"allegro",3,9
"allegro_acodec",3,1
"allegro_acodec-sys",2,1
"allegro_audio",4,2
"allegro_audio-sys",3,1
"allegro_color",4,0
"allegro_color-sys",3,1
"allegro_dialog",4,0
"allegro_dialog-sys",3,1
"allegro_examples",9,0
"allegro_font",5,2
"allegro_font-sys",3,2
"allegro_image",4,1
"allegro_image-sys",2,1
"allegro_primitives",3,1
"allegro_primitives-sys",3,1
"allegro_ttf",5,1
"allegro_ttf-sys",3,1
"allegro_util",1,16
"allegro-sys",2,8
"allenap-libtftp",3,1
"allenap-tftp-offload",4,0
"alloc_buddy_simple",1,1
"alloc_buddy_simple2",1,1
"alloc_hoard",2,0
"alloc-chibios",1,0
"alloc-cortex-m",2,1
"alloc-fmt",3,1
"alloc-tls",1,0
"allocator",1,0
"aloft",5,0
"alpaca",8,0
"alpaca-lexer-derive",2,0
"alpha-bleeder",1,0
"alphred",2,0
"alpm",4,1
"alpm-sys",2,1
"alsa",4,3
