"attributes.page.rank.list.vector..names","as.vector.page.rank.list.vector."
"acacia",2.27531305811583e-05
"nalgebra",0.000408860279124198
"quickcheck",0.0102553389638473
"quickcheck_macros",0.000571833819918044
"itertools",0.00132210941354782
"rand",0.0455988806207704
"num",0.0112975700926897
"aio",2.12480596866848e-05
"event",3.08805134113153e-05
"mio",0.000659813124004265
"nix",0.000963592716770833
"advapi32-sys",0.00730612546700812
"winapi",0.0491723094979403
"winapi-build",0.0165273550087276
"alfred",2.12480596866848e-05
"rustc-serialize",0.0166916943491807
"serde_json",0.00734841529455022
"algebloat",2.12480596866848e-05
"algebloat_macros",2.72683432645788e-05
"chrono",0.00303190741074877
"allegro_acodec",2.32548208793162e-05
"allegro_audio",2.98436867951224e-05
"allegro",6.53251143809676e-05
"allegro_acodec-sys",2.78369256024911e-05
"algebra",5.97519243765768e-05
"allegro_util",0.00017497816978079
"libc",0.0329819253812408
"allegro-sys",8.60463457081647e-05
"allegro_dialog",2.12480596866848e-05
"allegro_dialog-sys",2.57632723701053e-05
"allegro_audio-sys",2.75898431306483e-05
"allegro_examples",2.12480596866848e-05
"allegro_image",2.32548208793162e-05
"allegro_primitives",2.32548208793162e-05
"allegro_font",2.72081404287999e-05
"allegro_ttf",2.32548208793162e-05
"getopts",0.00246454118813013
"allegro_font-sys",3.30138343431619e-05
"allegro_image-sys",2.61897091235395e-05
"allegro_primitives-sys",2.78369256024911e-05
"allegro_ttf-sys",2.52013792361686e-05
"allocator",2.12480596866848e-05
"checked_cast",3.93089104203669e-05
"alsa-sys",3.60029819138724e-05
"pkg-config",0.0026334912138142
"amqp",2.42582014756318e-05
"openssl",0.000918488228968061
"byteorder",0.00544007080859885
"bit-vec",0.000678958390548402
"url",0.00225245221239803
"log",0.0214534229303447
"enum_primitive",0.000415191649829564
"env_logger",0.00388448665965216
"clippy",0.0128540732552262
"collect",0.00177694926252657
"amq-proto",2.33100068121135e-05
"ansi_term",0.001120025633216
"regex_macros",0.00243062365167749
"regex",0.0108489219325157
"ao",2.3828181220068e-05
"ascii",9.8853104782067e-05
"assert",0.000332252995694071
"artifact",2.12480596866848e-05
"lazy_static",0.0113505057978335
"time",0.00504120269651454
"astar",2.12480596866848e-05
"typed-arena",0.000180423794613466
"num-traits",0.049387981639578
"bare-websocket",2.12480596866848e-05
"sha1-hasher",2.85726827361603e-05
"bitflags",0.00938557434846232
"base32",6.3733279081384e-05
"basehangul",2.12480596866848e-05
"encoding-index-korean",0.000104534639763428
"basic-hll",2.12480596866848e-05
"bencode",3.56967402736305e-05
"better_range",2.12480596866848e-05
"stainless",0.000337928752864665
"bincode",0.00111594890369943
"serde_macros",0.00485623242448666
"serde",0.0210746548076609
"serde_derive",0.0139897991842955
"serde_bytes",0.000909173829930962
"bindgen",0.00215895346866707
"bindgen_plugin",0.000110065895852091
"syntex_syntax",0.00206977676259013
"clang-sys",0.000176035318674697
"diff",0.00121227157061397
"docopt",0.0014127301768673
"cexpr",0.000104177340692641
"quasi_codegen",0.000418780072031499
"clap",0.00449881892133444
"shlex",0.00015298111041253
"quasi",0.000787279812958413
"cfg-if",0.00426126675153482
"aster",0.000957103666317415
"peeking_take_while",0.00010103547048525
"which",0.000113337012812156
"quote",0.0046429275128597
"proc-macro2",0.0060330633302051
"bitmap",2.12480596866848e-05
"bitio",2.12480596866848e-05
"blas",5.6117662385532e-05
"libblas-sys",3.09708185537013e-05
"blas-sys",6.03960896101826e-05
"num-complex",0.00147607773341151
"complex",6.40925580406838e-05
"bloom",2.12480596866848e-05
"bloomfilter",2.12480596866848e-05
"siphasher",0.000224234806061796
"bmp",3.6583059800376e-05
"bodyparser",7.33274717896384e-05
"iron",0.000631095891568573
"persistent",6.13549374315953e-05
"plugin",0.000155015526233775
"bread",2.12480596866848e-05
"term",0.00104089084813125
"bytekey",2.12480596866848e-05
"bzip2-sys",3.10115832242881e-05
"gcc",0.00465569914456699
"cc",0.00132249516878784
"bzip2",8.04054879567329e-05
"tokio-core",0.00156520109270634
"futures",0.00399285627076841
"tokio-io",0.000882438942366283
"cal",2.12480596866848e-05
"capnp",0.000101601637123511
"gj",5.13148542922966e-05
"capnpc",4.64782201496662e-05
"capnp-rpc",2.26373558969681e-05
"capnp-gj",2.39968814741738e-05
"gjio",2.90962187874357e-05
"capnp-futures",2.39968814741738e-05
"carboxyl",8.86898955405376e-05
"skeptic",0.000716593119565604
"cargo_rub",2.12480596866848e-05
"buildable",3.86638800370211e-05
"scm",3.86638800370211e-05
"commandext",0.000108443266907369
"utils",3.86638800370211e-05
"cargo-watch",2.12480596866848e-05
"docopt_macros",5.13888960995817e-05
"notify",0.000144607453398578
"wait-timeout",4.39194497735176e-05
"duct",0.000741775898232337
"ignore",5.17487899069409e-05
"walkdir",0.00100151979793334
"watchexec",2.23768628575399e-05
"caseless",2.12480596866848e-05
"unicode-normalization",0.00105294332375394
"rayon",0.00248636483955279
"tempdir",0.00619099052159456
"cellular_maps",2.12480596866848e-05
"cfor",3.16677812638091e-05
"cfg",4.61839593080582e-05
"bit-matrix",5.32345326182597e-05
"cgmath",0.00040008991594475
"rand_macros",0.00490192130464049
"glium",0.000350244865865737
"approx",0.000309187408229793
"simd",0.00104043652370736
"mint",0.000997478525718077
"char_set",2.12480596866848e-05
"integer_set",3.02784850535259e-05
"interval",5.60151973490228e-05
"civet",2.67601562678565e-05
"route-recognizer",7.91374855814971e-05
"conduit",0.000103725315546458
"civet-sys",2.57972862522204e-05
"semver",0.00236387080060074
"cmake",0.000623070368750324
"cld2",2.18500880444742e-05
"cld2-sys",2.74389179659525e-05
"toml",0.00203572412695399
"clj_rub",2.12480596866848e-05
"clock_ticks",0.000192403842311102
"coinaddress",2.12480596866848e-05
"bencher",0.000426808356719145
"sha2",0.000251207435230193
"traverse",0.000339391424357221
"threadpool",0.00060469519270786
"compare",0.000355428489525865
"ordered_iter",0.000358322332612604
"columnar",2.4360546296456e-05
"sodium-sys",7.84500861390453e-05
"compress",3.41976833051542e-05
"conduit-conditional-get",2.16585335669958e-05
"conduit-test",4.55991050075345e-05
"conduit-middleware",3.60795071670205e-05
"conduit-json-parser",2.16585335669958e-05
"conduit-utils",2.43163519420092e-05
"conduit-cookie",2.16585335669958e-05
"cookie",0.000186201247913622
"base64",0.000736367398245199
"conduit-log-requests",2.16585335669958e-05
"conduit-mime-types",8.08008988977005e-05
"conduit-router",2.16585335669958e-05
"conduit-static",2.16585335669958e-05
"filetime",0.00112804110273085
"confsolve",2.12480596866848e-05
"ring",0.000385059620412463
"cow",2.12480596866848e-05
