"Project.Name","Out.Degrees","In.Degrees"
"1602/elm-feather",3,0
"1602/json-schema",2,0
"1602/json-value",1,0
"2mol/elm-colormaps",1,0
"aardito2/realm",1,0
"AaronCZim/to-elm-format-string",2,0
"abadi199/dateparser",4,3
"abadi199/datetimepicker",8,3
"abadi199/datetimepicker-css",5,0
"abadi199/elm-creditcard",4,0
"abadi199/elm-input-extra",7,1
"abadi199/intl-phone-input",7,0
"abrykajlo/elm-scroll",2,1
"adam-r-kowalski/Elm-Css",3,0
"adam-r-kowalski/elm-css-legacy",3,0
"adeschamps/mdl-context",3,0
"adius/vectual",8,0
"agrafix/elm-bootforms",7,0
"ahstro/elm-konami-code",2,0
"ahstro/elm-luhn",1,1
"ahstro/elm-ssn-validation",2,0
"airtucha/board",2,0
"airtucha/pathfinder",2,0
"AIRTucha/pathfinder",2,0
"akbiggs/elm-effects",2,1
"akbiggs/elm-game-update",2,0
"akheron/elm-easter",3,0
"akoppela/elm-autocomplete",3,0
"akoppela/elm-css-extra-properties",2,0
"akoppela/elm-css-extra-ptoperties",2,0
"akoppela/elm-logo",4,0
"alech/elm-calendarweeks",2,0
"alepop/elm-google-url-shortener",2,0
"alexeisavca/keyframes.elm",1,0
"alinz/elm-vector2d",1,0
"alltonp/elm-driveby",3,0
"alpacaaa/elm-date-distance",3,0
"aluuu/elm-check-io",3,0
"amaksimov/elm-maybe-pipeline",1,0
"amaksimov/elm-multikey-handling",2,0
"amazzeo/elm-math-strings",2,0
"amilner42/keyboard-extra",2,0
"amitu/elm-formatting",2,0
"andre-dietrich/parser-combinators",2,0
"andrewMacmurray/elm-delay",1,0
"andybalaam/elm-param-parsing",4,0
"andys8/elm-geohash",1,0
"antivanov/eunit",2,0
"Apanatshka/elm-list-ndet",1,0
"Apanatshka/elm-signal-extra",1,9
"aphorisme/elm-oprocesso",3,0
"apuchenkin/elm-multiway-tree-extra",2,1
"apuchenkin/elm-nested-router",14,0
"aramiscd/elm-basscss",2,0
"aristidesstaffieri/elm-poisson",3,0
"arnau/elm-feather",2,0
"arowM/elm-chat-scenario",4,0
"arowM/elm-check-button",4,0
"arowM/elm-default",2,0
"arowM/elm-embedded-gist",2,0
"arowM/elm-form-validator",2,0
"arowM/elm-istring",3,0
"arowM/elm-monoid",2,0
"arowM/elm-raw-html",2,0
"arowM/elm-show",2,0
"arowM/elm-time-machine",2,0
"arturopala/elm-monocle",6,3
"ashelab/elm-cqrs",3,0
"astynax/elm-state",3,0
"astynax/tea-combine",3,0
"ASVBPREAUBV/elm-flexbox",2,0
"athanclark/elm-debouncer",1,0
"athanclark/elm-discrete-transition",4,0
"athanclark/elm-duration",2,1
"athanclark/elm-every",1,0
"athanclark/elm-param-parsing-2",2,0
"athanclark/elm-threading",2,0
"avh4-experimental/elm-compose-programs",3,0
"avh4-experimental/elm-debug-controls-without-datepicker",5,0
"avh4-experimental/elm-layout",5,1
"avh4/elm-beautiful-example",6,0
"avh4/elm-debug-controls",5,0
"avh4/elm-diff",3,2
"avh4/elm-dropbox",9,0
"avh4/elm-favicon",2,0
"avh4/elm-fifo",1,1
"avh4/elm-meshes",3,0
"avh4/elm-spec",3,1
"avh4/elm-table",2,0
"avh4/elm-testable",6,1
"avh4/elm-transducers",1,0
"avh4/elm-typed-styles",2,0
"b52/elm-semantic-ui",2,0
"bakkemo/elm-collision",1,0
"bardt/elm-rosetree",3,0
"bartavelle/json-helpers",1,2
"base-dev/elm-graphql-module",2,0
"basti1302/elm-human-readable-filesize",2,0
"basti1302/elm-non-empty-array",2,0
"bcardiff/elm-debounce",1,0
"bcardiff/elm-infscroll",2,0
"benansell/elm-geometric-transformation",2,0
"benansell/lobo-elm-test-extra",3,0
"bendyworks/elm-action-cable",3,0
"benthepoet/elm-purecss",2,0
"Bernardoow/elm-alert-timer-message",2,0
"Bernardoow/elm-rating-component",3,0
"besuikerd/elm-dictset",1,1
"billperegoy/elm-form-validations",2,0
"billperegoy/elm-sifter",2,0
"billstclair/elm-bitwise-infix",1,2
"billstclair/elm-chat",3,0
"billstclair/elm-crypto-aes",3,1
"billstclair/elm-crypto-string",8,0
"billstclair/elm-dev-random",1,0
"billstclair/elm-digital-ocean",2,0
"billstclair/elm-dynamodb",4,0
"billstclair/elm-html-template",5,0
"billstclair/elm-oauth-middleware",6,0
"billstclair/elm-s3",4,0
"billstclair/elm-sha256",4,0
"billstclair/elm-simple-xml-to-json",4,0
"billstclair/elm-versioned-json",1,0
"billstclair/elm-xml-extra",4,1
"bitrage-io/elm-ratequeue",2,0
"blacksheepmails/elm-set",1,0
"bloom/aviators",4,0
"bloom/elm-return",1,0
"bloom/remotedata",4,0
"blue-dinosaur/lambda",3,0
"Bogdanp/elm-ast",5,1
"Bogdanp/elm-combine",3,31
"Bogdanp/elm-datepicker",2,0
"Bogdanp/elm-generate",1,0
"Bogdanp/elm-querystring",3,5
"Bogdanp/elm-route",4,1
"Bogdanp/elm-time",4,1
"Bractlet/elm-plot",5,0
"brainrape/elm-ast",3,0
"brainrape/elm-bidict",3,0
"brainrape/flex-html",4,0
"brenden/elm-tree-diagram",4,0
"BrianHicks/elm-avl-exploration",1,0
"BrianHicks/elm-benchmark",5,0
"BrianHicks/elm-trend",1,1
"bruz/elm-simple-form-infix",2,0
"burabure/elm-collision",1,0
"cacay/elm-void",1,0
"cakenggt/elm-net",1,0
"CallumJHays/elm-kalman-filter",1,0
"CallumJHays/elm-sliders",3,0
"CallumJHays/elm-unwrap",2,1
"camjc/elm-chart",3,0
"camjc/elm-quiz",3,0
"canadaduane/elm-hccb",4,0
"canadaduane/typed-svg",4,0
"capitalist/elm-octicons",3,0
"careport/elm-avl",2,0
"carwow/elm-core",8,0
"carwow/elm-slider",4,0
"carwow/elm-theme",5,1
"ccapndave/elm-effects-extra",2,0
"ccapndave/elm-flat-map",2,0
"ccapndave/elm-list-map",2,0
"ccapndave/elm-reflect",1,1
"ccapndave/elm-translator",4,0
"ccapndave/elm-update-extra",1,2
"ccapndave/focus",2,0
