"attributes.page.rank.list.vector..names","as.vector.page.rank.list.vector."
"Apanatshka/elm-signal-extra",0.000817439896636399
"elm-lang/core",0.331537902237168
"Dandandan/Easing",0.000756568491146418
"Dandandan/parser",0.000562435984862559
"maxsnew/lazy",0.00240070775066833
"TheSeamau5/elm-check",0.000533342778343966
"TheSeamau5/elm-random-extra",0.000809720372018025
"TheSeamau5/elm-shrink",0.000624011050662441
"circuithub/elm-result-extra",0.000456306981383231
"elm-lang/lazy",0.00443128504590282
"TheSeamau5/GraphicsEngine",0.00033986381012089
"johnpmayer/elm-linear-algebra",0.000617513661666872
"johnpmayer/elm-webgl",0.000436158556321809
"deadfoxygrandpa/Elm-Test",0.0018059314984168
"evancz/elm-html",0.00744893305748838
"TheSeamau5/elm-quadtree",0.00033986381012089
"TheSeamau5/elm-task-extra",0.00068399496822855
"TheSeamau5/flex-html",0.00033986381012089
"coreytrampe/elm-vendor",0.000869484914225943
"avh4/elm-diff",0.00050706650579703
"maxsnew/IO",0.00201827449395902
"circuithub/elm-array-extra",0.000642389804435443
"circuithub/elm-array-focus",0.00033986381012089
"evancz/focus",0.00148677648510993
"circuithub/elm-bootstrap-html",0.00033986381012089
"circuithub/elm-html-shorthand",0.000412084869771579
"elm-lang/html",0.0599397745297735
"circuithub/elm-filepickerio-api-types",0.00033986381012089
"circuithub/elm-function-extra",0.00033986381012089
"circuithub/elm-graphics-shorthand",0.00033986381012089
"circuithub/elm-html-extra",0.000450041048899108
"elm-community/html-extra",0.000409918237982058
"circuithub/elm-json-extra",0.000362514796097549
"circuithub/elm-list-extra",0.000663024392907068
"circuithub/elm-list-signal",0.00033986381012089
"circuithub/elm-maybe-extra",0.000532453302522727
"circuithub/elm-number-format",0.00033986381012089
"circuithub/elm-string-split",0.000484305929422268
"cutsea110/elm-temperature",0.00033986381012089
"evancz/automaton",0.000628748048723646
"evancz/virtual-dom",0.00402036945494852
"evancz/elm-markdown",0.00102662543421465
"evancz/elm-svg",0.00102366457919916
"heyLu/elm-format-date",0.00033986381012089
"identicalsnowflake/elm-dynamic-style",0.00033986381012089
"identicalsnowflake/elm-typed-styles",0.00033986381012089
"imeckler/iterator",0.00033986381012089
"uehaj/IntRange",0.000484305929422268
"imeckler/piece",0.00033986381012089
"imeckler/queue",0.000758745956094886
"imeckler/ratio",0.00046986171749213
"imeckler/stage",0.00033986381012089
"jastice/boxes-and-bubbles",0.00033986381012089
"jastice/president",0.00033986381012089
"jcollard/elm-playground",0.00033986381012089
"jcollard/key-constants",0.000484305929422268
"joefiorini/elm-time-machine",0.00033986381012089
"evancz/elm-http",0.0038314796025523
"jvoigtlaender/elm-drag-and-drop",0.00033986381012089
"jwmerrill/elm-animation-frame",0.00033986381012089
"mgold/Elm-Align-Distribute",0.00033986381012089
"mgold/Elm-Format-String",0.00033986381012089
"mgold/Elm-Multiset",0.00033986381012089
"deadfoxygrandpa/elm-test",0.00267896559836069
"mgold/Elm-Random-Sampling",0.00033986381012089
"rehno-lindeque/elm-signal-alt",0.00033986381012089
"shutej/elm-rpcplus-runtime",0.00033986381012089
"thSoft/ElmCache",0.00033986381012089
"vilterp/elm-diagrams",0.00033986381012089
"krisajenkins/elm-exts",0.000506316157125335
"evancz/elm-effects",0.00471335906731377
"jterbraak/DateOp",0.000362514796097549
"NoRedInk/elm-check",0.000893095623510163
"laszlopandy/elm-console",0.0025212599901614
"elm-community/elm-check",0.000746776688080263
"elm-community/elm-lazy-list",0.00131727526652107
"elm-community/elm-test",0.00443326895703447
"elm-lang/trampoline",0.000721927944130108
"elm-lang/http",0.00852407798048291
"bakkemo/elm-collision",0.00033986381012089
"thSoft/ExternalStorage",0.00033986381012089
"sgraf812/elm-intdict",0.000670017225666897
"TheSeamau5/elm-history",0.000426529081701717
"TheSeamau5/elm-router",0.00033986381012089
"evancz/task-tutorial",0.000412084869771579
"TheSeamau5/elm-lazy-list",0.000757403806644211
"imeckler/either",0.00033986381012089
"imeckler/empty",0.00033986381012089
"avh4/elm-spec",0.000484305929422268
"mgold/elm-date-format",0.000460232242872038
"karldray/elm-ref",0.00033986381012089
"evancz/start-app",0.000616010880021615
"TheSeamau5/elm-html-decoder",0.00033986381012089
"jystic/elm-font-awesome",0.000438909834784692
"elm-lang/svg",0.00647225445058198
"Apanatshka/elm-list-ndet",0.00033986381012089
"TheSeamau5/typographic-scale",0.00033986381012089
"koyachi/elm-sha",0.00033986381012089
"mgold/elm-nonempty-list",0.000725042794924565
"TheSeamau5/elm-undo-redo",0.00033986381012089
"sgraf812/elm-access",0.00033986381012089
"circuithub/elm-list-split",0.000381132987064141
"mgold/elm-socketio",0.00033986381012089
"avh4/elm-transducers",0.00033986381012089
"truqu/elm-base64",0.00113905288528721
"NoRedInk/elm-lazy-list",0.000889733096232229
"NoRedInk/elm-random-extra",0.000981495730947831
"avh4/elm-typed-styles",0.00033986381012089
"mgold/elm-turtle-graphics",0.00033986381012089
"chendrix/elm-numpad",0.00033986381012089
"sgraf812/elm-stateful",0.00033986381012089
"TheSeamau5/elm-material-icons",0.00033986381012089
"chendrix/elm-matrix",0.00033986381012089
"NoRedInk/elm-shrink",0.000580936315286339
"elm-community/shrink",0.00132287551093471
"zeckalpha/char-extra",0.000436158556321809
"zeckalpha/elm-sexp",0.00033986381012089
"TheSeamau5/elm-spring",0.00033986381012089
"TheSeamau5/selection-list",0.00033986381012089
"JustusAdam/elm-path",0.00033986381012089
"johnpmayer/state",0.000484305929422268
"johnpmayer/tagtree",0.00033986381012089
"johnpmayer/vec2",0.00033986381012089
"robertjlooby/elm-draggable-form",0.00033986381012089
"adam-r-kowalski/Elm-Css",0.00033986381012089
"avh4-experimental/elm-layout",0.00035591293448771
"TheSeamau5/elm-rosetree",0.00033986381012089
"NoRedInk/elm-string-extra",0.00033986381012089
"sgraf812/elm-graph",0.00033986381012089
"jinjor/elm-transition",0.00033986381012089
"aphorisme/elm-oprocesso",0.00033986381012089
"eeue56/elm-simple-data",0.00033986381012089
"rgrempel/elm-http-decorators",0.00033986381012089
"sindikat/elm-matrix",0.00033986381012089
"sindikat/elm-array-experimental",0.000388011183221349
"sindikat/elm-list-experimental",0.000388011183221349
"aluuu/elm-check-io",0.00033986381012089
"elm-community/array-extra",0.000678500334260787
"elm-community/list-extra",0.00669843569735095
"sindikat/elm-maybe-experimental",0.00033986381012089
"mgold/elm-animation",0.000429562366207046
"avh4/elm-table",0.00033986381012089
"eeue56/elm-flat-matrix",0.000619462483911415
"evancz/elm-graphics",0.00131137053218142
"rtfeldman/elm-validate",0.000452207680688628
"zarvunk/tuple-map",0.00033986381012089
"sawaken-experiment/elm-lisp-parser",0.00033986381012089
"mgold/elm-join",0.00033986381012089
"jessitron/elm-http-with-headers",0.00033986381012089
"jessitron/elm-param-parsing",0.00033986381012089
"NoRedInk/elm-rails",0.00033986381012089
"rgrempel/elm-route-hash",0.00033986381012089
"elm-community/elm-history",0.000585186139727992
"ThomasWeiser/elmfire",0.000582750111922314
"agrafix/elm-bootforms",0.00033986381012089
"tripokey/elm-fuzzy",0.000549648792915748
"rluiten/elm-date-extra",0.000957995906756831
"avh4/elm-fifo",0.000397640657841441
"Bogdanp/elm-combine",0.00331014447287936
"nphollon/collisions",0.00033986381012089
"elm-community/elm-linear-algebra",0.000762808390700238
"jackfranklin/elm-console-log",0.00033986381012089
"nphollon/mechanics",0.00033986381012089
"eeue56/elm-default-dict",0.00033986381012089
"eeue56/elm-all-dict",0.000804829870348183
"ThomasWeiser/elmfire-extra",0.000379986621037939
"b52/elm-semantic-ui",0.00033986381012089
"nphollon/interpolate",0.00033986381012089
"simonh1000/elm-charts",0.00033986381012089
"vito/elm-ansi",0.00033986381012089
